Sebastian Aho,CAR,R,2016-12-07,false,ANA,1,1,2,0,0,0,0,0,0,0,3,33.3,1134,28,0,0,1,3,0,0,0,0
Sebastian Aho,CAR,R,2016-12-22,false,BUF,1,0,2,0,0,0,0,0,0,0,3,33.3,875,17,2,1,0,0,0,0,0,0
Sebastian Aho,CAR,R,2016-10-16,false,VAN,0,1,0,0,0,1,0,0,0,0,1,0.0,771,19,1,0,1,0,1,0,0,0
Sebastian Aho,CAR,R,2016-11-15,false,SJS,0,0,0,0,0,0,0,0,0,0,4,0.0,1114,20,1,0,1,0,1,0,0,0
Sebastian Aho,CAR,R,2016-12-17,false,BUF,0,0,-1,0,0,0,0,0,0,0,1,0.0,1255,24,2,0,2,0,0,1,0,100
Sebastian Aho,CAR,R,2016-12-30,false,CHI,0,1,1,0,0,0,0,0,0,0,3,0.0,1074,22,2,0,1,3,0,0,0,0
Sebastian Aho,CAR,R,2016-12-10,false,SJS,0,0,-1,0,0,0,0,0,0,0,1,0.0,1216,28,0,0,1,1,0,0,0,0
Sebastian Aho,CAR,R,2016-10-25,false,DET,0,0,1,0,0,0,0,0,0,0,5,0.0,964,20,0,0,1,0,0,0,0,0
Sebastian Aho,CAR,R,2016-11-10,false,ANA,0,1,0,0,0,0,0,0,0,0,2,0.0,625,18,0,0,1,0,0,0,1,0
Sebastian Aho,CAR,R,2016-11-08,false,NJD,0,0,0,0,0,0,0,0,0,0,1,0.0,710,17,0,1,0,0,1,0,0,0
Sebastian Aho,CAR,R,2016-12-31,false,TBL,1,0,1,0,0,0,0,0,0,0,5,20.0,1061,23,2,0,1,0,0,0,0,0
Sebastian Aho,CAR,R,2016-11-22,false,TOR,0,0,0,0,0,0,0,0,0,0,1,0.0,925,19,0,0,3,1,0,0,0,0
Sebastian Aho,CAR,R,2016-11-24,false,MTL,0,0,-1,0,0,0,0,0,0,0,1,0.0,867,23,1,0,1,1,0,0,0,0
Sebastian Aho,CAR,R,2016-10-13,false,WPG,0,1,0,2,0,1,0,0,0,0,2,0.0,888,18,0,0,1,2,0,0,0,0
Sebastian Aho,CAR,R,2016-10-28,false,NYR,0,0,0,0,0,0,0,0,0,0,1,0.0,1073,22,1,0,2,0,0,0,0,0
Sebastian Aho,CAR,R,2016-11-26,false,OTT,1,0,0,0,0,0,0,0,0,0,6,16.7,1064,24,0,0,0,0,1,0,0,0
Sebastian Aho,CAR,R,2016-12-03,false,NYR,0,0,0,0,0,0,0,0,0,0,4,0.0,1037,20,0,0,1,0,0,4,2,66
Sebastian Aho,CAR,R,2016-10-30,false,PHI,0,0,-1,0,0,0,0,0,0,0,4,0.0,1089,26,0,0,0,0,1,0,0,0
Sebastian Aho,CAR,R,2016-10-22,false,PHI,0,2,0,0,0,1,0,0,0,0,2,0.0,1012,20,0,1,1,2,0,0,0,0
Sebastian Aho,CAR,R,2016-11-05,false,NSH,0,0,0,0,0,0,0,0,0,0,3,0.0,844,19,0,0,1,0,0,0,0,0
Sebastian Aho,CAR,R,2016-11-20,false,WPG,0,0,-1,0,0,0,0,0,0,0,3,0.0,885,16,0,0,0,2,0,0,0,0
Sebastian Aho,CAR,R,2016-11-27,false,FLA,0,0,-1,0,0,0,0,0,0,0,3,0.0,835,21,0,0,0,0,0,0,0,0
Sebastian Aho,CAR,R,2016-12-01,false,BOS,0,0,-1,0,0,0,0,0,0,0,5,0.0,1021,24,1,0,0,0,1,0,0,0
Sebastian Aho,CAR,R,2016-11-06,false,NJD,0,0,-2,0,0,0,0,0,0,0,1,0.0,992,20,2,0,1,1,0,0,0,0
Sebastian Aho,CAR,R,2016-10-18,false,EDM,0,0,-1,0,0,0,0,0,0,0,1,0.0,880,20,0,0,2,0,0,0,0,0
Sebastian Aho,CAR,R,2016-11-29,false,NYR,0,0,0,0,0,0,0,0,0,0,1,0.0,982,23,0,0,0,0,0,1,0,100
Sebastian Aho,CAR,R,2016-11-01,false,OTT,0,0,0,0,0,0,0,0,0,0,2,0.0,922,19,0,0,0,1,0,0,0,0
Sebastian Aho,CAR,R,2016-12-08,false,LAK,0,0,0,0,0,0,0,0,0,0,0,0.0,949,21,1,0,0,0,1,0,1,0
Sebastian Aho,CAR,R,2016-11-18,false,MTL,0,1,0,0,0,0,0,0,0,0,3,0.0,1026,24,0,0,1,1,1,0,0,0
Sebastian Aho,CAR,R,2016-12-28,false,PIT,0,1,1,0,0,0,0,0,0,0,7,0.0,1061,25,1,0,0,0,1,0,1,0
Sebastian Aho,CAR,R,2016-12-04,false,TBL,0,0,0,2,0,0,0,0,0,0,2,0.0,1092,22,0,0,1,2,0,1,4,20
Sebastian Aho,CAR,R,2016-10-20,false,CGY,0,1,0,0,0,0,0,0,0,0,1,0.0,744,16,1,0,1,1,0,0,0,0
Sebastian Aho,CAR,R,2016-12-16,false,WSH,0,2,0,0,0,1,0,0,0,0,3,0.0,1089,26,1,0,0,1,1,1,0,100
Sebastian Aho,CAR,R,2016-12-23,false,BOS,0,0,0,0,0,0,0,0,0,0,0,0.0,1069,25,3,0,1,1,3,0,0,0
Sebastian Aho,CAR,R,2016-12-13,false,VAN,1,0,1,0,0,0,0,0,0,0,2,50.0,897,20,0,0,1,1,0,0,0,0
Karl Alzner,WSH,D,2016-12-31,false,NJD,0,0,1,0,0,0,0,0,0,0,1,0.0,1283,27,1,1,0,0,0,0,0,0
Karl Alzner,WSH,D,2016-12-17,false,MTL,0,0,-1,0,0,0,0,0,0,0,0,0.0,1084,23,4,0,0,1,0,0,0,0
Karl Alzner,WSH,D,2016-11-20,false,CBJ,0,0,1,0,0,0,0,0,0,0,0,0.0,1337,28,0,4,1,2,0,0,0,0
